GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS394221645	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			6				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	10:11:00	obsr166679	S29148363	Traveling	P22	EBIRD	105	1.448		2	1	G1709328	0	1	0		<br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS394319261	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	10:08:00	obsr205340	S29154345	Traveling	P22	EBIRD	270	1.609		3	1	G1709251	0	1	0		<br />Submitted from eBird Android 1.0.3-beta6		
URN:CornellLabOfOrnithology:EBIRD:OBS406967169	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	17:00:00	obsr198628	S29893179	Traveling	P22	EBIRD	100	2.414		3	1	G1774406	0	1	0		Tom Wurster, Liga Auzins, and Amy Patten (in part). chilly 62 F with NW wind to 10+ mph, sufficient to add 2-3 inch chop to surface of small impoundment, clear,  Coverage limited to northern third of pond to north of parking area, btw Slough Trail dike and railroad tracks, in focused search for previously reported Little Stint.  <br />Submitted from eBird for iOS, version 1.1.5 Build 44	Alt plumage. Found by Amy.	
URN:CornellLabOfOrnithology:EBIRD:OBS394100955	2019-01-09 15:30:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-22	16:37:00	obsr346343	S29137251	Traveling	P22	EBIRD	24	0.805		1	1		0	1	0		<br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS393935747	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			20				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-22	09:52:00	obsr321577	S29125264	Traveling	P22	EBIRD	200	1.609		1	1		0	1	0		Moderate rain when I arrived, which turned into heavy rain and wind. But then rain subsided over last hour or so.--<br />Submitted from eBird Android 1.0.4		
URN:CornellLabOfOrnithology:EBIRD:OBS394155394	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-22	14:20:00	obsr206500	S29144462	Traveling	P22	EBIRD	180	1.609		1	1		0	1	0		I was somewhat distracted by looking for the possible Little Stint and by study of it. The total number of species and associated counts are low relative to what might had been observed during a more general survey. Partly cloudy. Strong winds from the west. <br />Submitted from eBird Android 1.0.4		
URN:CornellLabOfOrnithology:EBIRD:OBS394257157	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			X				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	09:30:00	obsr107304	S29150534	Stationary	P21	EBIRD	180			2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS395810917	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			2				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-27	07:20:00	obsr610122	S29250520	Traveling	P22	EBIRD	90	3.058		1	1		1	1	0		I walked around the reed area listening for the Black Rail that was reported a week or so ago (with no luck), and then went out along the eastern side of A12 to look for the Little Stint, which I might of seen, but it wasn't clear.  I believe that I did find a pair of Red-necked Phalaropes on A12.	There was a pair of them standing on the shore.  They flew to the water when I started to approach.  One seemed to have a white tuft on the back of its head.  (The pictures aren't very good, but they give an idea of their appearance.)	
URN:CornellLabOfOrnithology:EBIRD:OBS588059975	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	13:26:00	obsr1052459	S43659336	Traveling	P22	EBIRD	115	1.448		2	1	G3015400	0	1	0		<br />Submitted from eBird Android 1.0.2		
URN:CornellLabOfOrnithology:EBIRD:OBS520701397	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			30				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	12:20:00	obsr284646	S38288988	Traveling	P22	EBIRD	165	2.012		1	1		0	1	0		About 20 other birders were at the site of the continuing Little Stint. Will Brooks originally found this bird on 4/20. This just east of pond A-12 and west of the railroad tracks. The was a rare spring record for this species.		
