GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS663095898	2018-10-04 13:32:21.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			2				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline--Frank's Dump	L526261	H	37.6540967	-122.1544504	2018-10-04	08:35:00	obsr172295	S48929269	Stationary	P21	EBIRD	130			7	1		0	1	0		Overcast. Wind 8-10 mph. Upper 50sF.		
URN:CornellLabOfOrnithology:EBIRD:OBS665272282	2018-10-10 02:14:41.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			20				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Eden Landing Ecological Reserve	L457476	H	37.596824	-122.1138096	2018-10-09	14:05:00	obsr230614	S49085803	Traveling	P22	EBIRD	40	0.483		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS663136000	2018-10-04 16:34:28.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline	L225431	H	37.6419316	-122.1517012	2018-10-04	08:00:00	obsr276807	S48932266	Traveling	P22	EBIRD	195	3.219		7	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS746917883	2019-04-28 20:57:31.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline	L225431	H	37.6419316	-122.1517012	2019-04-28	13:15:00	obsr761571	S55536466	Traveling	P22	EBIRD	120	4.828		1	1		0	1	0		I went from Grant Ave north on the trail to San Lorenzo Creek. Then I went west to the mouth of the creek and south to Bockman Channel. I then returned to the Grant Ave parking area.		
URN:CornellLabOfOrnithology:EBIRD:OBS742084005	2019-04-22 13:13:54.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline	L225431	H	37.6419316	-122.1517012	2019-04-20	14:10:00	obsr297774	S55196990	Traveling	P22	EBIRD	105	2.897		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS738221235	2019-04-13 20:33:49.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			6				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline	L225431	H	37.6419316	-122.1517012	2019-04-13	13:00:00	obsr761571	S54923138	Traveling	P22	EBIRD	150	4.023		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS747522985	2019-04-29 22:10:43.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_141				McLaughlin Eastshore SP--Berkeley Meadow	L298487	H	37.8670193	-122.3102331	2019-04-29	18:30:00	obsr548064	S55577692	Traveling	P22	EBIRD	30	1		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS747746675	2019-04-30 20:42:04.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			90				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--Interpretive Center	L587721	H	37.6233925	-122.1372843	2019-04-30	07:43:00	obsr559085	S55592416	Traveling	P22	EBIRD	150	3.219		11	1	G4105872	0	1	0		This was behind the gate - led by EBRPD Naturalist Francis.		
URN:CornellLabOfOrnithology:EBIRD:OBS748049853	2019-04-30 20:54:58.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			90				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--Interpretive Center	L587721	H	37.6233925	-122.1372843	2019-04-30	07:43:00	obsr690833	S55613064	Traveling	P22	EBIRD	80	1.931		11	1	G4105872	0	1	0		T4TB:  This was behind the gate - led by EBRPD Naturalist Francis. Dawn went on (with Ken) to the Bay afterwards, so we had differing times/distance and Dawn saw more birds.		
URN:CornellLabOfOrnithology:EBIRD:OBS751190425	2019-05-21 00:32:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			55				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--H.A.R.D. Marsh	L1246774	H	37.6253809	-122.1395588	2019-05-04	08:34:00	obsr130688	S55812757	Traveling	P22	EBIRD	214	4.828		15	1	G4123483	1	1	0		Golden Gate Audubon Birdathon trip led by Bob Lewis.  Through first gate near visitor's center, along trail by HARD Marsh to gate near bay trail and back to visitor center along main bay trail.  Cool at start but warming during day to about 65 deg.  Slight wind at start, calm at end of trip.  Overcast - clear.	Alternate plumage.  feeding on water surface in groups	
URN:CornellLabOfOrnithology:EBIRD:OBS750831243	2019-05-08 00:06:21.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			65				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--H.A.R.D. Marsh	L1246774	H	37.6253809	-122.1395588	2019-05-04	08:40:00	obsr357587	S55791887	Traveling	P22	EBIRD	220	4.828		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS751408821	2019-05-21 00:32:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			55				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--H.A.R.D. Marsh	L1246774	H	37.6253809	-122.1395588	2019-05-04	08:34:00	obsr1172263	S55824648	Traveling	P22	EBIRD	214	4.828		15	1	G4123483	1	1	0		Golden Gate Audubon Birdathon trip led by Bob Lewis.  Through first gate near visitor's center, along trail by HARD Marsh to gate near bay trail and back to visitor center along main bay trail.  Cool at start but warming during day to about 65 deg.  Slight wind at start, calm at end of trip.  Overcast - clear.	Alternate plumage.  feeding on water surface in groups	
URN:CornellLabOfOrnithology:EBIRD:OBS751245809	2019-05-21 00:32:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			55				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--H.A.R.D. Marsh	L1246774	H	37.6253809	-122.1395588	2019-05-04	08:34:00	obsr451505	S55815829	Traveling	P22	EBIRD	214	4.828		15	1	G4123483	1	1	0		Golden Gate Audubon Birdathon trip led by Bob Lewis.  Through first gate near visitor's center, along trail by HARD Marsh to gate near bay trail and back to visitor center along main bay trail.  Cool at start but warming during day to about 65 deg.  Slight wind at start, calm at end of trip.  Overcast - clear.	Alternate plumage.  feeding on water surface in groups	
URN:CornellLabOfOrnithology:EBIRD:OBS751079092	2019-05-21 00:32:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			55				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--H.A.R.D. Marsh	L1246774	H	37.6253809	-122.1395588	2019-05-04	08:34:00	obsr30575	S55806414	Traveling	P22	EBIRD	214	4.828		15	1	G4123483	1	1	0		Golden Gate Audubon Birdathon trip led by Bob Lewis.  Through first gate near visitor's center, along trail by HARD Marsh to gate near bay trail and back to visitor center along main bay trail.  Cool at start but warming during day to about 65 deg.  Slight wind at start, calm at end of trip.  Overcast - clear.	Alternate plumage.  feeding on water surface in groups	
